"Week.ending","ILIplus_H1H1","ILIplus_H3N2","ILIplus_B"
"1999-11-14",0,0.000432505490755556,0.00129751647226667
"1999-11-21",0,0.000420054466046512,0.000420054466046512
"1999-11-28",0,0,0.00040350274725
"1999-12-05",0.000251728730714286,0,0.000503457461428571
"1999-12-12",0,0,0.000488239445617021
"1999-12-19",0.000264570732268041,0.000793712196804124,0.000529141464536082
"1999-12-26",0,0.00122658771018405,0.000919940782638037
"2000-01-02",0.000759919665652174,0.00189979916413043,0.00113987949847826
"2000-01-09",0.000793176156527197,0.00687419335656904,0.00211513641740586
"2000-01-16",0.0043939801128,0.01054555227072,0.00175759204512
"2000-01-23",0.00904426263461539,0.0113053282932692,0.00258407503846154
"2000-01-30",0.0134816312772727,0.011684080440303,0.00419428528626263
"2000-02-06",0.0141942412637586,0.021146522699069,0.0046348542902069
